Category,Name,Count,Color,Subtype,Deck,Requirement,Text
Stock,Common Share,4,Steel,blank,Main deck (auctioned),,
Stock,Boom,1,Steel,extra_up,Main deck (auctioned),,"When bought, Steel rises an extra +1 (Steel rises +2 total)."
Stock,Tip-Off,1,Steel,other_up,Main deck (auctioned),,"When bought, raise a different stock of your choice by +1."
Stock,Scout,1,Steel,peek_buy,Main deck (auctioned),,"When bought, look at the top Insider Tip card."
Stock,Informant,1,Steel,peek_sell,Main deck (auctioned),,"When sold, look at the top Insider Tip card."
Stock,Common Share,4,Oil,blank,Main deck (auctioned),,
Stock,Boom,1,Oil,extra_up,Main deck (auctioned),,"When bought, Oil rises an extra +1 (Oil rises +2 total)."
Stock,Tip-Off,1,Oil,other_up,Main deck (auctioned),,"When bought, raise a different stock of your choice by +1."
Stock,Scout,1,Oil,peek_buy,Main deck (auctioned),,"When bought, look at the top Insider Tip card."
Stock,Informant,1,Oil,peek_sell,Main deck (auctioned),,"When sold, look at the top Insider Tip card."
Stock,Common Share,4,Rail,blank,Main deck (auctioned),,
Stock,Boom,1,Rail,extra_up,Main deck (auctioned),,"When bought, Rail rises an extra +1 (Rail rises +2 total)."
Stock,Tip-Off,1,Rail,other_up,Main deck (auctioned),,"When bought, raise a different stock of your choice by +1."
Stock,Scout,1,Rail,peek_buy,Main deck (auctioned),,"When bought, look at the top Insider Tip card."
Stock,Informant,1,Rail,peek_sell,Main deck (auctioned),,"When sold, look at the top Insider Tip card."
Stock,Common Share,4,Bank,blank,Main deck (auctioned),,
Stock,Boom,1,Bank,extra_up,Main deck (auctioned),,"When bought, Bank rises an extra +1 (Bank rises +2 total)."
Stock,Tip-Off,1,Bank,other_up,Main deck (auctioned),,"When bought, raise a different stock of your choice by +1."
Stock,Scout,1,Bank,peek_buy,Main deck (auctioned),,"When bought, look at the top Insider Tip card."
Stock,Informant,1,Bank,peek_sell,Main deck (auctioned),,"When sold, look at the top Insider Tip card."
Stock,Wild Share,4,Wild,wild,Main deck (auctioned),,"No cash value and cannot be sold. When claiming a Goal, may count as one stock of any one color, then is discarded."
Action,Tipster's Choice,1,,single-use,Main deck (auctioned),,"Draw 2 cards, keep 1, return the other to the bottom."
Action,Liquidation,1,,single-use,Main deck (auctioned),,Sell any number of stocks of a single color; gain +$1 per stock sold.
Action,Corner the Market,1,,single-use,Main deck (auctioned),,"Take one face-up market stock for free (no price move, no ability)."
Action,Pump and Dump,1,,single-use,Main deck (auctioned),,Sell 1 stock at double its price.
Action,The Squeeze,1,,single-use,Main deck (auctioned),,"Raise one stock +2, or lower one stock -2."
Action,Wild Speculation,1,,single-use,Main deck (auctioned),,"Reveal the top deck card to the bottom. If colored, raise or lower that color by 3; if not, reveal again."
Action,Preferred Bidder,1,,persistent,Main deck (auctioned),,"For the rest of the game, you win any bid you tie."
